stock_id,year,60日均價(元),本季以來報酬率 %,class
2368,201703,10.99,13.4619,1
2369,201703,11.8,16.8777,1
2371,201703,13.75,36.268,1
2373,201703,59.5916,11.9627,1
2374,201703,15.1874,11.607,1
2375,201703,19.4306,5.5214,1
2376,201703,33.8916,-2.7842,0
2377,201703,60.3353,-4.0756,0
2379,201703,94.6326,6.373,1
2380,201703,9.01,7.6217,1
2382,201703,51.0556,2.3221,1
2383,201703,95.3844,31.1107,1
2385,201703,55.093,3.2003,1
2387,201703,19.4834,16.7648,1
2388,201703,11.1867,11.3862,1
2390,201703,16.43,-8.1872,0
2392,201703,31.1078,7.3772,1
2393,201703,38.3425,5.4231,1
2395,201703,192.498,-0.1965,0
2397,201703,40.156,7.9304,1
2399,201703,8.4,14.6462,1
2401,201703,10.4263,7.4887,1
2402,201703,17.3218,38.9939,1
2404,201703,49.5541,35.4965,1
2405,201703,8.9,15.3088,1
2406,201703,38.1526,-7.551,0
2408,201703,38.043,0.2072,1
2409,201703,9.89,0.4238,1
2412,201703,86.551,1.4777,1
2413,201703,11.86,-1.2659,0
2414,201703,13.6418,7.8037,1
2415,201703,28.9954,38.2847,1
2417,201703,10.4034,-3.2712,0
2419,201703,17.5287,16.3371,1
2420,201703,27.1744,11.9883,1
2421,201703,24.6216,9.6714,1
2423,201703,15.5663,5.1677,1
2424,201703,42.0745,42.6008,1
2425,201703,18.3117,-4.8098,0
2426,201703,10.4333,10.4417,1
2427,201703,7.4138,25.1748,1
2428,201703,57.3839,6.0127,1
2429,201703,15.75,-15.4798,0
2430,201703,23.113,-1.8646,0
2431,201703,14.23,7.0672,1
2433,201703,31.0247,4.2878,1
2434,201703,38.0144,10.3771,1
2436,201703,23.1282,12.6165,1
2438,201703,15.0724,-8.5254,0
2439,201703,107.107,34.1565,1
2440,201703,9.79,19.8208,1
2441,201703,32.6083,6.6669,1
2442,201703,6.811,9.1714,1
2443,201703,6.62,11.5069,1
2444,201703,12.8,41.2557,1
2449,201703,22.2783,11.1115,1
2450,201703,42.2762,1.5296,1
2451,201703,68.3641,16.6668,1
2453,201703,9.6543,20.7547,1
2454,201703,194.325,-0.6929,0
2455,201703,48.1277,15.1517,1
2457,201703,11.71,17.4212,1
2458,201703,39.5511,11.6886,1
2459,201703,28.2495,16.7137,1
2460,201703,11.37,17.8218,1
2461,201703,15.33,-12.9035,0
2462,201703,20.1047,6.5062,1
2464,201703,31.2903,10.9775,1
2465,201703,15.78,-8.8465,0
2466,201703,35.35,-1.2857,0
2467,201703,16.396,3.8649,1
2468,201703,9.4582,8.4905,1
2471,201703,11.6485,22.4139,1
2472,201703,32.7379,-1.2819,0
2474,201703,215.69,33.9284,1
2476,201703,20.8238,2.9073,1
2477,201703,17.6603,14.1174,1
2478,201703,24.8237,10.8179,1
2480,201703,26.9518,15.4548,1
2481,201703,16.3048,7.5755,1
2482,201703,13.23,11.0687,1
2483,201703,13.4274,9.9124,1
2484,201703,15.8555,11.989,1
2485,201703,30.2819,1.1959,1
2486,201703,9.3822,5.8166,1
2488,201703,32.7143,4.9593,1
2489,201703,20.66,-0.2257,0
2491,201703,7.381,-5.0459,0
2492,201703,36.7155,26.5916,1
