stock_id,year,營業毛利率,營業利益率,ROA(A)稅後息前,ROE(A)－稅後,流動比率,負債比率,總資產週轉次數,應收帳款週轉次數,季底每股稅後淨利,每股淨值(C),當季季底P/E,當季季底P/B,當季季底PSR
1457,201703,10.73,5.53,0.25,0.21,137.7,46.7,0.11,2.03,0.07,14.97,.,0.95,0.73
1459,201703,2.96,-1.94,-0.66,-1.65,149.04,50.97,0.11,2.31,-0.18,10.1,.,0.95,1.04
1460,201703,21.54,5.6,0.54,0.92,142.2,53.75,0.21,1.82,0.1,11.06,14.46,1.63,0.89
1463,201703,55.56,46.03,10.65,13.65,505.3,16.35,0.23,1.84,1.95,17,3.65,1.55,1.51
1464,201703,20.27,9.05,1.14,2.35,103.53,55.89,0.17,1.21,0.29,15.14,16.09,1.92,1.06
1465,201703,14.47,3.44,-0.02,-0.02,561.41,14.09,0.17,2.04,-0.09,16.44,14.82,0.79,0.69
1466,201703,11.68,5.44,0.65,1.11,119.73,52.33,0.25,1.89,0.18,15.95,.,0.74,0.35
1467,201703,18.7,-1.83,-0.7,-2.57,133.69,66.25,0.23,1.58,-0.28,9.95,.,1.11,0.33
1468,201703,29.62,11.98,-0.26,-0.98,206.07,53.78,0.07,2.51,-0.08,6.63,.,1.59,2.91
1470,201703,23.46,7.06,0.91,1.02,642.13,10.86,0.17,1.16,0.11,11.22,35.42,1.72,2.43
1471,201703,-8.38,-31.68,-4.85,-6.54,191.68,24,0.12,0.71,-0.72,8.09,.,0.7,0.98
1472,201703,-2.28,-13.73,-2.44,-6.44,78.48,58.58,0.17,1.49,-0.59,5.03,.,2.21,1.04
1473,201703,14.27,3.31,0.94,1.35,282.9,35.39,0.33,1.54,0.42,26.98,35.17,1.01,0.46
1474,201703,17.69,9.3,0.75,1.27,145.99,47.04,0.23,1.44,0.18,14.31,10.47,0.8,0.47
1475,201703,-3.73,-23.18,-9.22,-19.35,168.71,50.94,0.19,1.72,-0.92,5.54,.,1.95,3.06
1476,201703,26.8,15.49,1.45,1.89,283.77,24.25,0.26,1.91,0.99,56.25,19.43,5.4,3.4
1477,201703,18.92,7.91,2.53,3.56,203.21,29.74,0.43,10.3,1.5,42.06,17.16,2.96,1.21
1503,201703,22.71,9.82,1.18,1.9,133.52,38.57,0.14,0.81,0.77,41.36,11.92,0.99,0.99
1504,201703,25.11,7.54,0.75,1.13,250.73,38.36,0.13,1.07,0.27,25.35,13.26,1.23,1.23
